,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,282.0,310.0,182.0,500.0,28.0,619.0,892.0,353.0,5402.0,124.0,129.0,195.0
round 2,742.0,308.0,183.0,505.0,28.0,601.0,889.0,353.0,5592.0,125.0,131.0,197.0
round 3,739.0,317.0,183.0,498.0,28.0,604.0,892.0,357.0,5428.0,126.0,130.0,208.0
round 4,738.0,310.0,183.0,498.0,28.0,613.0,892.0,352.0,5425.0,124.0,128.0,196.0
round 5,739.0,309.0,182.0,500.0,28.0,601.0,899.0,353.0,5428.0,128.0,129.0,195.0
round 6,741.0,309.0,184.0,501.0,28.0,614.0,890.0,353.0,5414.0,125.0,129.0,195.0
round 7,730.0,308.0,182.0,510.0,28.0,614.0,892.0,353.0,5369.0,126.0,129.0,195.0
round 8,739.0,311.0,185.0,504.0,28.0,627.0,899.0,354.0,5383.0,125.0,129.0,225.0
round 9,729.0,309.0,182.0,501.0,28.0,599.0,891.0,352.0,5375.0,126.0,129.0,195.0
round 10,734.0,308.0,182.0,497.0,28.0,608.0,893.0,352.0,5371.0,124.0,128.0,198.0
Average,691.3,309.9,182.8,501.4,28.0,610.0,892.9,353.2,5418.7,125.3,129.1,199.9
stdv,136.49765565752404,2.5475478405713994,0.9797958971132713,3.746998799039039,0.0,8.567379996241558,3.2388269481403293,1.4000000000000001,62.02910607126302,1.1874342087037917,0.8306623862918076,9.180958555619343
