,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,5.0,64.0,4695.0,845.0,4.0,4.0,4.0,3.0,102.0,6169.0,225.0,1649.0
round 2,5.0,49.0,4765.0,854.0,5.0,6.0,4.0,5.0,103.0,6110.0,220.0,1632.0
round 3,4.0,48.0,4709.0,843.0,6.0,4.0,6.0,4.0,102.0,6264.0,222.0,1673.0
round 4,5.0,47.0,4782.0,877.0,6.0,4.0,6.0,3.0,123.0,6062.0,219.0,1624.0
round 5,4.0,48.0,4687.0,867.0,5.0,4.0,4.0,3.0,103.0,6037.0,236.0,1609.0
round 6,4.0,51.0,4656.0,887.0,5.0,4.0,5.0,3.0,103.0,6044.0,217.0,1616.0
round 7,4.0,50.0,4683.0,858.0,5.0,6.0,6.0,4.0,105.0,6085.0,232.0,1625.0
round 8,5.0,48.0,4622.0,890.0,4.0,4.0,4.0,5.0,103.0,6057.0,230.0,1619.0
round 9,4.0,50.0,4615.0,848.0,4.0,4.0,5.0,3.0,103.0,6047.0,219.0,1666.0
round 10,5.0,49.0,4706.0,905.0,5.0,6.0,7.0,5.0,105.0,6225.0,217.0,1632.0
Average,4.5,50.4,4692.0,867.4,4.9,4.6,5.1,3.8,105.2,6110.0,223.7,1634.5
stdv,0.5,4.673328578219169,51.14098160966408,20.35288677313368,0.7000000000000001,0.9165151389911681,1.044030650891055,0.8717797887081347,6.0133185513491645,77.33951124748592,6.419501538281613,20.323631565249357
