,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,8.0,9.0,1400.0,847.0,185.0,101.0,56.0,4846.0,1770.0,775.0,869.0,4256.0
round 2,11.0,7.0,1308.0,853.0,154.0,44.0,25.0,2934.0,1066.0,637.0,863.0,3877.0
round 3,8.0,8.0,1349.0,862.0,115.0,45.0,33.0,3132.0,1072.0,723.0,873.0,3864.0
round 4,11.0,10.0,1449.0,954.0,126.0,53.0,29.0,2955.0,1092.0,632.0,862.0,3810.0
round 5,8.0,8.0,1313.0,855.0,113.0,44.0,24.0,2873.0,1080.0,627.0,860.0,3865.0
round 6,13.0,8.0,1362.0,881.0,125.0,50.0,24.0,2968.0,1079.0,654.0,910.0,4294.0
round 7,9.0,7.0,1328.0,848.0,106.0,61.0,25.0,2894.0,1194.0,649.0,860.0,3830.0
round 8,7.0,9.0,1307.0,849.0,112.0,44.0,23.0,2967.0,1108.0,636.0,877.0,3887.0
round 9,8.0,7.0,1329.0,851.0,113.0,45.0,28.0,3069.0,1162.0,736.0,867.0,3798.0
round 10,8.0,7.0,1318.0,854.0,117.0,43.0,23.0,2888.0,1070.0,647.0,856.0,4298.0
Average,9.1,8.0,1346.3,865.4,126.6,53.0,29.0,3152.6,1169.3,671.6,869.7,3977.9
stdv,1.8138357147217055,1.0,43.863538388962645,31.007095962053587,23.23445717033217,16.87601848778319,9.486832980505138,569.6873177454454,204.29490938346945,49.92834866085599,14.75161008161482,201.57254277306717
