,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,7.0,15.0,278.0,2302.0,4.0,5.0,11.0,4.0,22.0,2831.0,2141.0,439.0
round 2,3.0,15.0,275.0,2289.0,4.0,6.0,10.0,3.0,23.0,2845.0,2056.0,406.0
round 3,3.0,15.0,280.0,2297.0,4.0,4.0,11.0,3.0,24.0,2827.0,2063.0,406.0
round 4,3.0,19.0,252.0,2313.0,4.0,4.0,10.0,3.0,23.0,2820.0,2045.0,428.0
round 5,3.0,15.0,265.0,2286.0,4.0,4.0,10.0,4.0,22.0,2899.0,2041.0,408.0
round 6,3.0,16.0,251.0,2298.0,4.0,4.0,10.0,3.0,22.0,2835.0,2052.0,421.0
round 7,4.0,15.0,266.0,2307.0,4.0,4.0,10.0,3.0,24.0,2930.0,2040.0,411.0
round 8,5.0,16.0,272.0,2314.0,4.0,6.0,11.0,4.0,22.0,2833.0,2063.0,409.0
round 9,3.0,16.0,268.0,2297.0,4.0,4.0,10.0,4.0,22.0,2833.0,2155.0,410.0
round 10,3.0,16.0,276.0,2290.0,4.0,4.0,13.0,3.0,23.0,2851.0,2036.0,410.0
Average,3.7,15.8,268.3,2299.3,4.0,4.5,10.6,3.4,22.7,2850.4,2069.2,414.8
stdv,1.2688577540449522,1.16619037896906,9.644169222903548,9.230926280715279,0.0,0.806225774829855,0.9165151389911681,0.48989794855663565,0.7810249675906655,33.791123094682725,40.496419594823436,10.457533169921097
