,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,14.0,19.0,10.0,7735.0,140.0,15108.0,14038.0,6400.0,5835.0,5805.0,8921.0,14403.0
round 2,7.0,10.0,6.0,6501.0,116.0,14800.0,12994.0,6561.0,7285.0,5767.0,8613.0,16569.0
round 3,9.0,10.0,6.0,6523.0,111.0,15229.0,16000.0,5653.0,5658.0,7172.0,8616.0,16052.0
round 4,10.0,11.0,8.0,4494.0,99.0,11620.0,15885.0,5528.0,5633.0,5691.0,8403.0,17445.0
round 5,12.0,10.0,8.0,4725.0,111.0,11621.0,13476.0,5452.0,7165.0,5669.0,8464.0,17602.0
round 6,8.0,9.0,5.0,4558.0,100.0,14862.0,16689.0,5588.0,5633.0,6688.0,8560.0,13734.0
round 7,8.0,8.0,7.0,4380.0,103.0,11615.0,12708.0,5527.0,5937.0,5644.0,8422.0,14194.0
round 8,13.0,11.0,5.0,4500.0,91.0,11730.0,12649.0,6580.0,7607.0,7243.0,8508.0,13868.0
round 9,6.0,10.0,6.0,4490.0,101.0,11569.0,12458.0,5438.0,5518.0,5556.0,8493.0,13663.0
round 10,10.0,13.0,6.0,4555.0,108.0,11547.0,12607.0,5514.0,5647.0,5622.0,8363.0,13790.0
Average,9.7,11.1,6.7,5246.1,108.0,12970.1,13950.4,5824.1,6191.8,6085.7,8536.3,15132.0
stdv,2.491987158875422,2.913760456866693,1.4866068747318506,1143.0946111324295,12.704329970525798,1661.515720659904,1544.670786931636,457.24423451805274,774.434994044045,638.955718340481,151.51240873275032,1525.9275212145562
